product_id,product_name,category,warehouse_name,stock_on_hand,stock_allocated,stock_on_order,rop,eoq,safety_stock,stockout_days,stock_availability_pct,health_score,health_label,recommendation,supplier_name,supplier_risk_status
PROD0001,Smartphone - Standard,Electronics,North Hub,244,25,0,64,200,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (244) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Horizon Distribution,High Risk (Supplier reliability is 78%). Evaluate alternative vendors.
PROD0001,Smartphone - Standard,Electronics,South Terminal,247,30,0,64,200,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (247) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Horizon Distribution,High Risk (Supplier reliability is 78%). Evaluate alternative vendors.
PROD0001,Smartphone - Standard,Electronics,East Gate,229,13,0,64,200,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (229) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Horizon Distribution,High Risk (Supplier reliability is 78%). Evaluate alternative vendors.
PROD0001,Smartphone - Standard,Electronics,West Depot,112,1,0,64,200,13,0.0,100.0,76.0,Good,Overstocked: Current stock (112) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Horizon Distribution,High Risk (Supplier reliability is 78%). Evaluate alternative vendors.
PROD0001,Smartphone - Standard,Electronics,Central Fulfillment,249,7,0,64,200,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (249) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Horizon Distribution,High Risk (Supplier reliability is 78%). Evaluate alternative vendors.
PROD0002,Smartphone - Pro,Electronics,North Hub,111,3,0,40,65,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (111) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Alpha Logistics,Low Risk
PROD0002,Smartphone - Pro,Electronics,South Terminal,150,8,0,40,65,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (150) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Alpha Logistics,Low Risk
PROD0002,Smartphone - Pro,Electronics,East Gate,85,7,0,40,65,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (85) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Alpha Logistics,Low Risk
PROD0002,Smartphone - Pro,Electronics,West Depot,150,13,0,40,65,13,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (150) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Alpha Logistics,Low Risk
PROD0002,Smartphone - Pro,Electronics,Central Fulfillment,304,34,0,40,65,13,0.0,100.0,58.0,Needs Attention,Overstocked: Current stock (304) is far above Safety Stock (13). Halt procurement; run markdown campaigns.,Alpha Logistics,Low Risk
PROD0003,Smartphone - Lite,Electronics,North Hub,164,9,0,203,436,64,0.0,100.0,82.0,Good,Reorder Alert: Stock is below Reorder Point (203). Order 436 units.,Echo Supply,High Risk (Supplier reliability is 76%). Evaluate alternative vendors.
PROD0003,Smartphone - Lite,Electronics,South Terminal,145,18,0,203,436,64,0.0,100.0,82.0,Good,Reorder Alert: Stock is below Reorder Point (203). Order 436 units.,Echo Supply,High Risk (Supplier reliability is 76%). Evaluate alternative vendors.
PROD0003,Smartphone - Lite,Electronics,East Gate,140,8,0,203,436,64,0.0,100.0,82.0,Good,Reorder Alert: Stock is below Reorder Point (203). Order 436 units.,Echo Supply,High Risk (Supplier reliability is 76%). Evaluate alternative vendors.
PROD0003,Smartphone - Lite,Electronics,West Depot,94,11,0,203,436,64,0.0,100.0,88.0,Excellent,Reorder Alert: Stock is below Reorder Point (203). Order 436 units.,Echo Supply,High Risk (Supplier reliability is 76%). Evaluate alternative vendors.
PROD0003,Smartphone - Lite,Electronics,Central Fulfillment,157,16,0,203,436,64,0.0,100.0,82.0,Good,Reorder Alert: Stock is below Reorder Point (203). Order 436 units.,Echo Supply,High Risk (Supplier reliability is 76%). Evaluate alternative vendors.
PROD0004,Smartphone - Elite,Electronics,North Hub,188,4,0,90,200,19,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (188) is far above Safety Stock (19). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0004,Smartphone - Elite,Electronics,South Terminal,243,16,0,90,200,19,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (243) is far above Safety Stock (19). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0004,Smartphone - Elite,Electronics,East Gate,249,2,0,90,200,19,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (249) is far above Safety Stock (19). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0004,Smartphone - Elite,Electronics,West Depot,117,10,0,90,200,19,0.0,100.0,76.0,Good,Overstocked: Current stock (117) is far above Safety Stock (19). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0004,Smartphone - Elite,Electronics,Central Fulfillment,236,5,0,90,200,19,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (236) is far above Safety Stock (19). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0005,Laptop - Standard,Electronics,North Hub,73,3,0,53,179,11,0.0,100.0,76.0,Good,Overstocked: Current stock (73) is far above Safety Stock (11). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0005,Laptop - Standard,Electronics,South Terminal,184,5,0,53,179,11,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (184) is far above Safety Stock (11). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0005,Laptop - Standard,Electronics,East Gate,108,13,0,53,179,11,0.0,100.0,67.0,Needs Attention,Overstocked: Current stock (108) is far above Safety Stock (11). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
PROD0005,Laptop - Standard,Electronics,West Depot,97,5,0,53,179,11,0.0,100.0,76.0,Good,Overstocked: Current stock (97) is far above Safety Stock (11). Halt procurement; run markdown campaigns.,Quantum Corp,Medium Risk (Supplier rating: 3.4). Review service-level agreement.
